rank,stop_id,name,latitude,longitude,temperature_c,impervious_pct,vegetation_pct,sky_pct,building_pct,peak_hi_c,peak_rh_pct,peak_wb_c,primary_action,primary_reason,secondary_action,secondary_reason
1,2609,7th Av & Tamarisk St,33.404289,-112.081862,40.31,77.8,13.2,43.5,5.8,47.9,38.1,19.2,Install misting station (evaporative cooling — effective in dry air),heat index 47.9 °C with RH 38.1% (dry regime),Apply reflective / cool-surface paving around shelter footprint,impervious 77.8% absorbs solar radiation; tile +0.2 °C vs mean
2,156,Broadway Rd & Central Av,33.406549,-112.07265,40.29,22.1,3.8,7.2,3.4,46.0,34.6,22.7,Install misting station (evaporative cooling — effective in dry air),heat index 47.9 °C with RH 38.1% (dry regime),Plant street trees along pedestrian approach (3–5 yr cooling payoff),vegetation 3.8% (target ≥ 15%)
3,148,Broadway Rd & 4th St,33.406618,-112.068592,40.29,65.4,3.7,44.9,8.5,46.0,34.6,22.7,Install misting station (evaporative cooling — effective in dry air),heat index 47.9 °C with RH 38.1% (dry regime),Plant street trees along pedestrian approach (3–5 yr cooling payoff),vegetation 3.7% (target ≥ 15%)
